    40/299     2.46G   0.02427   0.01692  0.001816     0.043        12       640    0.7073    0.8342    0.8346    0.5709   0.02781   0.01855  0.003705
    41/299     2.46G   0.02432   0.01707  0.001791   0.04319        22       640      0.73    0.8357     0.824    0.5772   0.02849   0.01879   0.00432
    42/299     2.46G   0.02437   0.01691  0.002133   0.04341        24       640    0.7268    0.8491    0.8262    0.5679   0.02783   0.01848  0.003677
    43/299     2.46G    0.0246   0.01669  0.001969   0.04326        22       640    0.7254    0.8259    0.8097    0.5531   0.02873   0.01911  0.004029
    44/299     2.46G   0.02493    0.0171  0.002348   0.04438        29       640    0.7138     0.856    0.8348    0.5695   0.02838   0.01838  0.003691
    45/299     2.46G   0.02418    0.0166  0.001838   0.04262        16       640    0.7245    0.8423    0.8245    0.5756   0.02884    0.0189  0.003923
    46/299     2.46G   0.02477   0.01692  0.001939   0.04363        16       640     0.695    0.8606    0.8403    0.5751   0.02818   0.01821   0.00299
    47/299     2.46G   0.02429   0.01618  0.002045   0.04252        28       640    0.7121    0.8505    0.8338    0.5674   0.02807   0.01846  0.003125
    48/299     2.46G    0.0245   0.01694  0.002109   0.04354        45       640    0.6855    0.8662     0.851    0.5852   0.02854   0.01792  0.003067
    49/299     2.46G   0.02458   0.01681  0.002039   0.04343        23       640    0.7496    0.8492    0.8438    0.5811    0.0276   0.01873  0.003484
    50/299     2.46G   0.02396   0.01669  0.002038   0.04268        23       640    0.7129    0.8359    0.8249    0.5656   0.02777   0.01847  0.003252
    51/299     2.46G   0.02395    0.0163  0.002254   0.04251        27       640    0.6816    0.8509    0.8309    0.5833   0.02767    0.0186  0.003013
    52/299     2.46G   0.02422   0.01625  0.001857   0.04233        28       640    0.7374     0.839    0.8398    0.5859   0.02781   0.01829  0.003634
    53/299     2.46G   0.02394    0.0163   0.00211   0.04235        14       640    0.6859    0.8571    0.8356    0.5879    0.0276   0.01815   0.00312
    54/299     2.46G   0.02405    0.0158  0.002057   0.04191        20       640    0.6631    0.8364    0.8062    0.5447   0.02875   0.01855  0.003676
    55/299     2.46G   0.02412   0.01606  0.001975   0.04215        30       640    0.6666    0.8215    0.8032     0.563   0.02848   0.01866  0.003338
    56/299     2.46G   0.02411   0.01636  0.002045   0.04251        25       640    0.7045    0.8631    0.8429    0.5741   0.02806   0.01845  0.003515
    57/299     2.46G   0.02361   0.01612  0.002004   0.04173        24       640    0.7103    0.8578    0.8378    0.5695   0.02824   0.01886    0.0034
    58/299     2.46G   0.02405   0.01659  0.001707   0.04234        36       640    0.6951    0.8461    0.8297    0.5607   0.02743   0.01834  0.003319
    59/299     2.46G   0.02395   0.01688  0.001749   0.04258        26       640     0.729    0.8483     0.831    0.5834   0.02788   0.01822  0.003684
    60/299     2.46G   0.02369   0.01654   0.00179   0.04201        17       640    0.7239    0.8188    0.7993    0.5674   0.02851   0.01894  0.003314
    61/299     2.46G   0.02323   0.01607  0.001736   0.04104        17       640     0.714    0.8509    0.8339    0.5707   0.02783   0.01866  0.003385
    62/299     2.46G    0.0235   0.01613  0.002163   0.04179        44       640     0.656    0.8445    0.8152    0.5735   0.02856   0.01891  0.003423
    63/299     2.46G   0.02435   0.01718  0.002692   0.04423        26       640    0.6724    0.8444    0.8281    0.5741   0.02769    0.0183  0.003921
    64/299     2.46G   0.02419   0.01655  0.002003   0.04274        18       640    0.6631    0.8476    0.8317     0.578   0.02809   0.01846  0.003468
    65/299     2.46G   0.02415   0.01674  0.002041   0.04294        24       640    0.7071    0.8483    0.8402    0.5863   0.02766   0.01848  0.002873
    66/299     2.46G   0.02345   0.01641  0.001961   0.04181        30       640    0.7119    0.8589    0.8493    0.5904   0.02757   0.01868  0.003694
    67/299     2.46G   0.02366   0.01585  0.002087    0.0416        34       640    0.7131    0.8452    0.8161     0.578    0.0281   0.01855  0.003251
