    41/199     2.51G    0.0519   0.01341  0.003548   0.06886         5       640    0.3673         1    0.7697    0.3925    0.0311  0.006135  0.002181
    42/199     2.51G   0.05252     0.011  0.002782    0.0663         3       640    0.3486    0.9899    0.6622    0.2018   0.03846  0.006073  0.002139
    43/199     2.51G   0.05568   0.01265  0.002941   0.07127        10       640    0.4696         1    0.7972    0.5267   0.02788  0.006386    0.0024
    44/199     2.51G   0.05139   0.01212  0.003141   0.06665         8       640    0.3408         1     0.736    0.3637   0.03791   0.00597  0.002283
    45/199     2.51G   0.05469   0.01194  0.003073    0.0697         6       640    0.3439         1    0.7783    0.5338    0.0343  0.005815  0.002508
    46/199     2.51G    0.0492   0.01114  0.003201   0.06354         7       640    0.4237         1     0.832    0.4272   0.03235  0.005838  0.002545
    47/199     2.51G   0.04976   0.01222  0.003536   0.06551         5       640    0.3607         1    0.9104    0.5017    0.0304  0.005596  0.002222
    48/199     2.51G   0.05287   0.01203  0.002812   0.06772         7       640    0.5457         1    0.9523    0.6269   0.02966  0.005668  0.002524
    49/199     2.51G    0.0413   0.01096  0.003042    0.0553         6       640    0.2994         1    0.8546    0.4099   0.04108  0.005312  0.002383
    50/199     2.51G   0.06115   0.00959  0.002982   0.07373         6       640    0.3324         1    0.7537     0.261   0.04959   0.00487  0.002675
    51/199     2.51G   0.06301   0.01011  0.003618   0.07674         5       640    0.4259    0.9899    0.9455    0.6796   0.03312  0.005535  0.003266
    52/199     2.51G   0.05404   0.01046  0.004023   0.06852         2       640    0.3458         1    0.6017    0.3917   0.04423   0.00527  0.002978
    53/199     2.51G   0.05352   0.01055  0.003204   0.06727         5       640    0.4373         1    0.9333    0.5785   0.03431  0.004901  0.002544
    54/199     2.51G   0.05901  0.009367  0.002673   0.07105         7       640     0.423         1    0.9823    0.6002   0.03505  0.005216   0.00264
    55/199     2.51G   0.05571   0.01042  0.002901   0.06903         5       640    0.4318         1    0.9925    0.6595   0.03521  0.004895  0.002538
    56/199     2.51G   0.05672   0.00999   0.00323   0.06994         8       640    0.3523         1    0.9453    0.7102    0.0342  0.005178  0.002587
    57/199     2.51G   0.05086   0.01098  0.003177   0.06502         8       640    0.5586         1    0.9902    0.6037   0.02966  0.006054  0.002681
    58/199     2.51G   0.04179   0.01048  0.002784   0.05506         4       640    0.4342         1    0.9797    0.7524   0.02641  0.005846  0.002117
    59/199     2.51G   0.04993   0.01109  0.002509   0.06353         7       640    0.3562         1    0.9672    0.5311   0.03455  0.005796  0.001767
    60/199     2.51G   0.06229   0.01082  0.002289   0.07541         7       640    0.2649         1    0.7216    0.2612   0.05348  0.005747  0.002431
    61/199     2.51G   0.06999   0.01068  0.003582   0.08425         7       640    0.3912         1    0.6964    0.4498   0.04586  0.007322  0.003915
    62/199     2.51G   0.05001   0.01589  0.004964   0.07086         5       640    0.5312    0.8283    0.6666    0.3456   0.03254   0.01032  0.004444
    63/199     2.51G   0.05313    0.0165  0.005558   0.07519         5       640    0.4136         1    0.9154    0.6458   0.03425  0.007581    0.0042
    64/199     2.51G   0.05429   0.01406  0.004556   0.07291         7       640    0.4802         1    0.9585    0.6013   0.03067  0.007849  0.003998
    65/199     2.51G   0.05098   0.01414  0.004275   0.06939         8       640    0.3973         1    0.8561    0.5418   0.03499  0.006635  0.002883
    66/199     2.51G   0.05472   0.00994  0.003255   0.06791         4       640      0.37         1    0.9648    0.5771   0.03053  0.006227  0.002488
    67/199     2.51G   0.05037   0.01149  0.002689   0.06455         4       640    0.2906         1    0.9434     0.473   0.04115  0.005249  0.002137
    68/199     2.51G   0.05746   0.01087  0.002722   0.07105         6       640    0.4933         1    0.9641    0.6832   0.02306  0.005319  0.001992
    69/199     2.51G    0.0516   0.01068  0.002558   0.06483        10       640    0.3873         1    0.9576    0.4945    0.0314   0.00537  0.001919
    70/199     2.51G   0.06018   0.01005  0.002536   0.07276         4       640    0.3706         1     0.883     0.581   0.03209   0.00506  0.001838
    71/199     2.51G   0.05091   0.01017  0.002488   0.06357        10       640    0.3317         1    0.8277    0.4368   0.03394  0.005068  0.001904
    72/199     2.51G   0.05575   0.01045  0.003059   0.06925         5       640    0.4038         1    0.9197    0.5249   0.03185  0.005114  0.002356
    73/199     2.51G   0.04786  0.009912  0.003439   0.06121         5       640    0.6398         1    0.9775    0.6598   0.02765  0.005092  0.002332
    74/199     2.51G   0.04815  0.009249  0.003148   0.06055         6       640    0.6621         1    0.9865    0.4828   0.02863  0.005217  0.002397
    75/199     2.51G   0.04777  0.009778  0.003456   0.06101         6       640    0.4529         1    0.8956    0.4282   0.03349   0.00492  0.002217
    76/199     2.51G   0.05478    0.0102  0.002947   0.06792         7       640    0.6188         1    0.9781       0.7   0.02266  0.005006  0.002272
    77/199     2.51G   0.04578  0.009782  0.002806   0.05836         8       640    0.4023         1    0.7936    0.3113    0.0378  0.004967  0.002046
    78/199     2.51G   0.05354  0.009832  0.002536   0.06591         5       640    0.5052         1    0.9091    0.5552   0.03086  0.005063  0.002235
    79/199     2.51G   0.04663   0.01102  0.002861   0.06052         7       640    0.7997         1    0.9628    0.6358    0.0222  0.005204  0.002251
    80/199     2.51G   0.05067   0.01119  0.002845   0.06471         9       640    0.5154         1    0.9228    0.5541   0.02743  0.005179  0.002309
    81/199     2.51G   0.04864   0.01062  0.002831   0.06209         4       640    0.7889         1    0.9942    0.7661   0.01863  0.004845   0.00222
    82/199     2.51G   0.04343   0.01012  0.003039   0.05659         4       640    0.5863         1    0.9783    0.7445   0.02661   0.00491  0.002038
    83/199     2.51G   0.05076  0.009619  0.002564   0.06294         6       640    0.6822         1    0.9672    0.6274   0.02705  0.005045  0.001924
